COMPENSATION RANGE,,,CONTRIBUTION
"Below 3,250",,,135
3250,-,3750,157.5
3750,-,4250,180
4250,-,4750,202.5
4750,-,5250,225
5250,-,5750,247.5
5750,-,6250,270
6250,-,6750,292.5
6750,-,7250,315
7250,-,7750,337.5
7750,-,8250,360
8250,-,8750,382.5
8750,-,9250,405
9250,-,9750,427.5
9750,-,10250,450
10250,-,10750,472.5
10750,-,11250,495
11250,-,11750,517.5
11750,-,12250,540
12250,-,12750,562.5
12750,-,13250,585
13250,-,13750,607.5
13750,-,14250,630
14250,-,14750,652.5
14750,-,15250,675
15250,-,15750,697.5
15750,-,16250,720
16250,-,16750,742.5
16750,-,17250,765
17250,-,17750,787.5
17750,-,18250,810
18250,-,18750,832.5
18750,-,19250,855
19250,-,19750,877.5
19750,-,20250,900
20250,-,20750,922.5
20750,-,21250,945
21250,-,21750,967.5
21750,-,22250,990
22250,-,22750,"1,012.50"
22750,-,23250,"1,035.00"
23250,-,23750,"1,057.50"
23750,-,24250,"1,080.00"
24250,-,24750,"1,102.50"
24750,-,Over,"1,125.00"
